"Summary", "Description", "Status" 
"cfat - undefined - Delete VPC in ap-south-1", "Delete any unnecessary VPC in ap-south-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in eu-north-1", "Delete any unnecessary VPC in eu-north-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in eu-west-3", "Delete any unnecessary VPC in eu-west-3 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in eu-west-2", "Delete any unnecessary VPC in eu-west-2 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in eu-west-1", "Delete any unnecessary VPC in eu-west-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ap-northeast-3", "Delete any unnecessary VPC in ap-northeast-3 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ap-northeast-2", "Delete any unnecessary VPC in ap-northeast-2 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ap-northeast-1", "Delete any unnecessary VPC in ap-northeast-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ca-central-1", "Delete any unnecessary VPC in ca-central-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in sa-east-1", "Delete any unnecessary VPC in sa-east-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ap-southeast-1", "Delete any unnecessary VPC in ap-southeast-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in ap-southeast-2", "Delete any unnecessary VPC in ap-southeast-2 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in eu-central-1", "Delete any unnecessary VPC in eu-central-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in us-east-1", "Delete any unnecessary VPC in us-east-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in us-east-2", "Delete any unnecessary VPC in us-east-2 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in us-west-1", "Delete any unnecessary VPC in us-west-1 to include the default VPC.", "Open" 
"cfat - undefined - Delete VPC in us-west-2", "Delete any unnecessary VPC in us-west-2 to include the default VPC.", "Open" 
"cfat - undefined - Setup legacy CUR", "Setup legacy CUR in AWS Organization", "Open" 
"cfat - undefined - Review account email addresses", "Review Account Email Addresses in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS Config", "Delegate administration to AWS Config", "Open" 
"cfat - undefined - Delegate administration of AWS Account management", "Delegate administration to AWS Account contact management", "Open" 
"cfat - undefined - Enable AWS Backup", "Enable AWS Backup in AWS Organization", "Open" 
"cfat - undefined - Delegate administration of AWS Backup", "Delegate administration to AWS Backup", "Open" 
